year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2015,MIA,0.415,0.321,0.529,22.3,20.7,0.503,13.8,-4.2
2015,MIL,0.439,0.348,0.53,21.6,22.6,0.49,15.4,-0.7
2015,MIN,0.171,0.34,0.521,26.0,21.8,0.545,13.4,-10.4
2015,NOP,0.415,0.364,0.528,21.2,20.7,0.498,10.8,-2.5
2015,NYK,0.171,0.368,0.511,20.0,22.7,0.513,11.8,-10.6
2015,OKC,0.39,0.33,0.521,24.5,19.8,0.499,11.2,-2.7
2015,ORL,0.293,0.349,0.521,18.3,20.1,0.513,13.3,-6.2
2015,PHI,0.146,0.321,0.48,23.1,18.2,0.504,14.4,-12.9
2015,PHO,0.415,0.329,0.528,21.4,20.5,0.498,13.3,-2.9
2015,POR,0.463,0.357,0.541,18.3,21.1,0.485,10.2,0.1
2015,SAC,0.268,0.353,0.542,30.3,20.3,0.523,11.2,-6.5
2015,SAS,0.537,0.338,0.532,20.6,22.9,0.483,13.0,2.9
2015,TOR,0.537,0.345,0.546,25.1,19.9,0.509,12.9,1.8
2015,UTA,0.415,0.348,0.531,23.6,21.0,0.498,12.0,-2.5
2015,WAS,0.415,0.333,0.52,20.1,22.9,0.496,12.0,-4.5
2016,ATL,0.512,0.343,0.545,22.0,24.1,0.482,13.5,1.3
2016,BOS,0.488,0.341,0.537,23.0,23.6,0.504,14.2,0.9
2016,BRK,0.171,0.337,0.516,21.3,22.0,0.535,12.4,-9.6
2016,CHO,0.439,0.363,0.537,22.2,20.4,0.513,13.0,-1.0
2016,CHI,0.39,0.374,0.529,20.7,21.7,0.496,10.4,-4.5
2016,CLE,0.585,0.359,0.55,21.5,20.6,0.497,12.2,3.7
2016,DAL,0.463,0.341,0.534,21.3,22.1,0.508,11.6,-2.9
2016,DEN,0.366,0.342,0.523,21.2,22.7,0.516,12.5,-3.9
2016,DET,0.439,0.335,0.509,25.1,18.1,0.511,12.4,-3.8
2016,GSW,0.829,0.415,0.585,21.9,28.2,0.483,11.7,7.1
2016,HOU,0.439,0.345,0.552,30.3,21.6,0.529,14.3,-1.3
2016,IND,0.463,0.352,0.532,22.5,21.4,0.49,13.9,-0.6
2016,LAC,0.585,0.359,0.554,26.6,22.1,0.494,13.6,1.7
2016,LAL,0.122,0.34,0.513,24.5,17.1,0.54,11.0,-12.9
2016,MEM,0.39,0.306,0.515,22.9,20.4,0.522,14.4,-4.9
2016,MIA,0.488,0.331,0.529,20.8,21.2,0.486,11.1,-2.1
2016,MIL,0.244,0.338,0.534,21.7,22.1,0.516,12.7,-7.4
2016,MIN,0.366,0.339,0.55,26.0,23.7,0.519,13.3,-3.3
2016,NOP,0.22,0.328,0.523,22.0,20.7,0.519,11.9,-6.9
2016,NYK,0.341,0.353,0.528,22.0,20.7,0.485,9.9,-4.0
2016,OKC,0.561,0.362,0.568,25.6,22.4,0.488,10.3,4.7
2016,ORL,0.293,0.335,0.526,19.1,22.4,0.523,13.0,-5.6
2016,PHI,0.073,0.337,0.518,21.7,20.7,0.512,13.0,-10.8
2016,PHO,0.22,0.339,0.52,22.7,20.8,0.528,12.5,-10.6
2016,POR,0.39,0.362,0.536,23.3,19.5,0.51,11.1,-4.1
2016,SAC,0.366,0.356,0.54,24.3,25.1,0.517,13.4,-3.8
2016,SAS,0.659,0.369,0.558,20.0,23.5,0.482,13.4,7.3
2016,TOR,0.585,0.357,0.542,25.4,18.6,0.499,12.8,2.5
2016,UTA,0.39,0.351,0.529,21.3,20.6,0.51,12.6,-1.9
2016,WAS,0.463,0.351,0.536,21.5,23.7,0.517,13.6,-3.6
2017,ATL,0.488,0.338,0.536,23.5,22.6,0.498,12.8,-1.8
2017,BOS,0.561,0.342,0.563,23.3,23.6,0.508,12.5,1.2
2017,BRK,0.171,0.345,0.56,25.1,21.8,0.523,11.1,-8.0
2017,CHO,0.341,0.351,0.541,22.1,22.0,0.528,12.0,-2.8
2017,CHI,0.39,0.335,0.534,21.5,21.4,0.508,11.6,-2.2
2017,CLE,0.488,0.378,0.571,22.9,20.8,0.529,11.0,-1.8
2017,DAL,0.293,0.352,0.535,17.1,20.8,0.552,14.3,-7.3
2017,DEN,0.439,0.349,0.555,24.0,22.8,0.535,10.7,-2.1
2017,DET,0.317,0.309,0.515,19.0,19.4,0.543,11.0,-6.3
2017,GSW,0.756,0.356,0.582,23.4,28.7,0.493,13.5,7.4
2017,HOU,0.61,0.357,0.581,25.3,24.2,0.523,12.5,2.7
2017,IND,0.317,0.37,0.55,22.6,23.2,0.529,13.2,-5.7
2017,LAC,0.537,0.38,0.566,25.4,21.6,0.522,10.7,-0.3
2017,LAL,0.22,0.328,0.522,22.2,19.8,0.547,12.5,-12.2
2017,MEM,0.463,0.355,0.542,22.5,21.4,0.52,12.9,-1.2
2017,MIA,0.439,0.348,0.524,20.2,21.4,0.498,12.2,-1.8
2017,MIL,0.463,0.366,0.556,21.0,24.0,0.517,12.0,-2.9
2017,MIN,0.268,0.332,0.545,23.4,22.8,0.542,12.4,-5.1
2017,NOP,0.317,0.35,0.53,21.4,21.9,0.514,12.5,-4.8
